Solar Irradiance,PV Current,PV Voltage,PV Energy,clusters_pred
818.0404243183336,60.4,172.9,200.0,1
881.7813880666669,60.8,170.9,300.0,1
878.756523312778,60.7,155.9,300.0,1
874.8235806833329,61.0,188.8,300.0,1
709.3468584350003,60.4,28.9,0.0,2
701.3456030816667,60.0,27.5,0.0,2
691.5752942983336,59.8,12.3,0.0,2
682.1617254466668,59.5,25.8,0.0,2
680.7166530508335,59.4,19.4,0.0,2
670.4194267750001,59.2,5.6,0.0,2
667.8281133083333,59.1,6.6,0.0,2
452.62449311833313,16.6,25.9,0.0,3
452.57411232666715,30.2,36.3,0.0,3
453.4504802533333,39.2,30.5,0.0,3
453.4910605266668,45.4,52.5,0.0,3
469.263197026111,49.7,52.4,0.0,3
490.7006300716664,52.7,36.9,0.0,3
574.8918939150002,54.8,35.5,0.0,3
624.4545058666657,56.2,40.3,0.0,3
637.5726815633335,57.0,35.4,0.0,2
664.34307111,57.6,88.1,0.0,2
674.7025965516665,58.3,76.4,0.0,2
699.3063660116666,58.9,155.7,0.0,2
745.0757663675008,59.3,126.9,100.0,2
756.9351045099997,59.7,150.7,100.0,2
761.284416676667,59.9,114.6,100.0,2
762.3771969416672,60.0,137.4,100.0,2
811.3801626533334,60.2,149.3,200.0,1
818.4163028183336,60.4,114.1,200.0,1
817.9977012666667,60.4,158.6,200.0,1
861.4924552083332,60.6,202.1,300.0,1
874.9049896216666,60.7,184.6,300.0,1
881.5875985500015,60.8,174.2,300.0,1
878.2807263961113,60.7,137.8,300.0,1
704.3553135483335,60.6,11.5,0.0,2
709.3468584350003,60.4,26.6,0.0,2
710.8085958883335,60.2,33.7,0.0,2
707.4174675616669,60.2,19.4,0.0,2
707.2265699083338,60.1,16.8,0.0,2
698.3483307816672,59.9,24.4,0.0,2
684.461975361667,59.6,9.4,0.0,2
678.7202752341668,59.4,9.7,0.0,2
671.7187073383334,59.3,2.5,0.0,2
452.7114983333329,4.5,0.0,0.0,3
452.7727477616663,9.7,3.3,0.0,3
451.06459388833326,25.5,45.3,0.0,3
453.70573883333265,36.5,1.4,0.0,3
454.27341991166685,43.6,36.5,0.0,3
468.26846877,48.6,28.7,0.0,3
482.65125180833434,51.8,43.1,0.0,3
577.402706490834,54.3,73.8,0.0,3
623.6959497933333,56.1,51.4,0.0,3
649.8485856166667,57.0,50.9,0.0,2
660.3033756066667,57.7,55.7,0.0,2
680.6173006166669,58.4,95.5,0.0,2
697.2061338999997,59.0,121.6,0.0,2
746.820952609723,59.4,119.2,100.0,2
755.3608895300008,59.6,119.6,100.0,2
760.1090421433338,59.6,57.4,100.0,2
751.6420876325003,59.5,105.2,100.0,2
760.3951948958328,59.7,214.2,100.0,1
801.5664986675001,59.9,197.9,200.0,1
812.1686410200005,60.2,235.3,200.0,1
827.6243845783334,60.7,222.3,200.0,1
880.369825225001,60.9,149.0,300.0,1
881.3851696500018,60.8,174.9,300.0,1
882.5742199166675,60.8,161.1,300.0,1
713.7138163233336,60.1,34.3,0.0,2
698.3483307816672,59.9,12.5,0.0,2
686.0026524283335,59.7,1.7,0.0,2
687.7773285783336,59.7,24.5,0.0,2
684.461975361667,59.6,9.9,0.0,2
682.1617254466668,59.5,19.6,0.0,2
670.1977251083335,59.2,8.3,0.0,2
667.1308559283333,59.0,14.6,0.0,2
482.7789103783329,52.0,0.0,0.0,3
452.7114983333329,0.0,0.0,0.0,3
452.7114983333329,5.9,0.0,0.0,3
452.7114983333329,6.3,0.0,0.0,3
452.80379631499983,20.7,19.9,0.0,3
452.9865963050002,33.0,32.1,0.0,3
453.90497586166686,41.5,30.9,0.0,3
460.7857719716664,47.1,32.3,0.0,3
478.1809808400007,50.9,22.6,0.0,3
520.9859692966673,53.4,24.9,0.0,3
597.1376666666678,55.3,56.6,0.0,3
632.2098560508322,56.4,47.4,0.0,3
652.0317841166657,57.1,68.3,0.0,2
661.5215660033333,57.7,67.9,0.0,2
674.8872507016665,58.3,75.8,0.0,2
676.5020836533333,58.6,72.8,0.0,2
736.072,58.9,141.7,100.0,2
740.5424074812512,59.2,99.0,100.0,2
744.8329035983342,59.3,124.5,100.0,2
746.6319188755568,59.4,126.3,100.0,2
749.9751045374995,59.5,144.3,100.0,2
801.5009860000004,59.9,205.8,200.0,1
819.2519358050001,60.4,204.6,200.0,1
831.6150698533331,60.8,235.6,200.0,1
857.4885509791658,60.6,236.0,300.0,1
870.194666173333,60.8,234.5,300.0,1
701.3456030816667,60.0,23.8,0.0,2
710.7288698416667,59.8,58.0,0.0,2
704.9777765916666,59.7,39.6,0.0,2
688.1523030833334,59.6,29.7,0.0,2
682.1617254466668,59.5,17.2,0.0,2
678.9419769008335,59.4,3.7,0.0,2
553.4863549633333,54.4,0.0,0.0,3
453.91264465083344,38.4,0.0,0.0,3
452.7114983333329,5.8,0.0,0.0,3
452.7114983333329,6.1,0.0,0.0,3
452.7114983333329,6.3,0.0,0.0,3
452.7114983333329,6.3,0.0,0.0,3
446.62778056666684,16.1,55.4,0.0,3
446.50569158281206,30.1,70.7,0.0,3
452.5968565333335,39.3,37.1,0.0,3
453.86358436666677,45.6,52.5,0.0,3
375.51867158558576,49.8,92.5,0.0,0
537.0298873497212,52.7,120.4,0.0,3
589.308595685834,54.8,73.3,0.0,3
621.2257150000004,56.0,63.8,0.0,3
669.9154225933332,56.9,87.2,100.0,2
681.6981516750004,57.6,161.3,100.0,2
688.6840612133329,58.0,136.4,100.0,2
704.4488333333339,58.3,142.6,100.0,2
722.0854145716667,58.7,187.3,100.0,2
773.1657293916674,59.1,226.6,200.0,1
781.3871922833342,59.5,153.3,200.0,1
806.2174686074997,60.0,172.7,200.0,1
854.2048891674997,60.4,140.7,300.0,1
866.8962202833341,60.7,263.1,300.0,1
878.9648150344448,60.7,149.8,300.0,1
727.2711985183334,60.4,57.4,0.0,2
728.9203164116667,60.3,48.3,0.0,2
708.9175426683338,60.1,30.1,0.0,2
696.5736546316672,59.9,2.4,0.0,2
686.4583531783336,59.6,23.8,0.0,2
680.16534763,59.5,10.2,0.0,2
680.7166530508335,59.4,15.7,0.0,2
671.4970056716667,59.3,9.1,0.0,2
670.4194267750001,59.2,4.5,0.0,2
452.7114983333329,0.0,0.0,0.0,3
452.7114983333329,4.6,0.0,0.0,3
452.7886168166665,19.9,15.8,0.0,3
452.8127565933339,32.5,34.2,0.0,3
454.1529670833336,40.9,8.7,0.0,3
